model_key,model,val_logloss,val_pr_auc,val_roc_auc,test_logloss,test_pr_auc,test_roc_auc
fusion_external,"Гибридная модель (Tabular + GNN), честный режим (future split)",0.0953239694431863,0.589854534210149,0.9108231360807175,0.08943665711385178,0.5182352379867787,0.9040084929028442
fusion_internal,"Fusion (internal, только для абляции)",0.062345339403856434,0.8402525543627918,0.9687556142752833,0.0619820281188329,0.8150226703974226,0.9643889913587294
tabular,Tabular (LightGBM),0.0980339780369522,0.5874607036028411,0.9105015404058275,0.09052224000044962,0.5206583268422204,0.9060341951042576
gnn_internal,"GNN (internal split внутри train-графа, только для абляции)",0.2550798351147518,0.3833476487124522,0.8045209235977239,0.27812672092900337,0.26219230425956436,0.7424128862727358
gnn_external,"GNN (индуктивно, future split)",0.2526598368171778,0.22003158482358784,0.7513644811338617,0.2415339493870484,0.19548350090796618,0.7129462058124995
graph_metrics,Graph-metrics baseline (контрольная модель без GNN),0.16086236727547512,0.133288632591489,0.7309223084368797,0.14275479976382557,0.1099646614495007,0.7051909045996438
